Transaction,Month,Price,CustomerID
1372,jan,82,1
1740,jan,65,1
1327,jan,66,1
1898,jan,168,1
1282,jan,165,1
1144,jan,197,1
1302,jan,145,1
1706,jan,133,1
1982,jan,56,1
1877,jan,67,1
1392,jan,67,1
1563,jan,127,1
1462,jan,89,1
1368,jan,100,1
1212,jan,85,1
1346,jan,174,1
1680,jan,85,1
1962,jan,192,1
1149,jan,70,1
1061,jan,96,1
1687,jan,134,1
1997,jan,198,1
1475,jan,189,1
1114,jan,126,1
1099,jan,154,1
1422,jan,84,1
1295,jan,163,1
1086,jan,163,1
1036,jan,191,1
1896,jan,80,1
1369,jan,67,1
1165,feb,55,1
1959,feb,68,1
1937,feb,175,1
1257,feb,57,1
1000,feb,182,1
1505,feb,149,1
1809,feb,123,1
1338,feb,157,1
1574,feb,126,1
1696,feb,122,1
1419,feb,175,1
1584,feb,166,1
1518,feb,88,1
1680,feb,55,1
1692,feb,82,1
1716,feb,175,1
1629,feb,122,1
1328,feb,125,1
1389,feb,143,1
1447,feb,58,1
1719,feb,120,1
1820,feb,145,1
1753,feb,150,1
1014,feb,76,1
1417,feb,71,1
1967,feb,191,1
1686,feb,159,1
1197,feb,88,1
1804,mar,181,1
1088,mar,54,1
1690,mar,123,1
1396,mar,191,1
1319,mar,161,1
1763,mar,84,1
1287,mar,168,1
1789,mar,122,1
1768,mar,121,1
1109,mar,84,1
1086,mar,195,1
1882,mar,188,1
1751,mar,81,1
1712,mar,172,1
1469,mar,190,1
1508,mar,57,1
1595,mar,151,1
1574,mar,178,1
1418,mar,185,1
1528,mar,199,1
1805,mar,139,1
1917,mar,83,1
1253,mar,163,1
1321,mar,100,1
1309,mar,158,1
1610,mar,123,1
1576,mar,162,1
1612,mar,149,1
1664,mar,155,1
1277,mar,76,1
1183,mar,128,1
1508,jan,180,2
1265,jan,98,2
1471,jan,147,2
1122,jan,102,2
1238,jan,190,2
1341,jan,154,2
1839,jan,179,2
1561,jan,168,2
1698,jan,70,2
1990,jan,63,2
1998,jan,106,2
1100,jan,195,2
1133,jan,81,2
1789,jan,95,2
1012,jan,179,2
1396,jan,186,2
1688,jan,74,2
1725,jan,179,2
1516,jan,187,2
1457,jan,83,2
1045,jan,152,2
1515,jan,105,2
1378,jan,89,2
1727,jan,189,2
1682,jan,154,2
1583,jan,99,2
1118,jan,151,2
1333,jan,136,2
1464,jan,92,2
1837,jan,56,2
1468,jan,62,2
1754,feb,78,2
1323,feb,131,2
1148,feb,76,2
1481,feb,168,2
1098,feb,90,2
1223,feb,56,2
1626,feb,87,2
1815,feb,63,2
1947,feb,75,2
1059,feb,175,2
1599,feb,98,2
1136,feb,52,2
1517,feb,81,2
1804,feb,182,2
1189,feb,69,2
1265,feb,73,2
1080,feb,91,2
1904,feb,196,2
1582,feb,178,2
1223,feb,171,2
1335,feb,126,2
1185,feb,145,2
1127,feb,50,2
1765,feb,75,2
1001,feb,102,2
1091,feb,155,2
1622,feb,179,2
1053,feb,64,2
1312,mar,87,2
1872,mar,144,2
1101,mar,195,2
1323,mar,150,2
1797,mar,176,2
1173,mar,85,2
1589,mar,88,2
1059,mar,145,2
1295,mar,108,2
1206,mar,66,2
1218,mar,101,2
1031,mar,89,2
1949,mar,154,2
1351,mar,186,2
1482,mar,177,2
1805,mar,133,2
1540,mar,79,2
1617,mar,97,2
1487,mar,68,2
1967,mar,108,2
1441,mar,92,2
1952,mar,155,2
1500,mar,61,2
1809,mar,184,2
1838,mar,183,2
1831,mar,111,2
1635,mar,127,2
1530,mar,65,2
1880,mar,115,2
1678,mar,153,2
1162,mar,153,2
